Recency,Frequency,Monetary,Cluster,Segment
41,5,680.1800000000001,3,At Risk
15,2,628.78,3,At Risk
34,8,2263.76,3,At Risk
79,2,307.76,3,At Risk
205,2,483.8,1,Regular
34,1,210.31,3,At Risk
183,3,270.79,1,Regular
2,43,5613.08,0,High Value
1,7,3448.29,3,At Risk
43,7,1280.85,3,At Risk
86,4,605.84,3,At Risk
40,2,291.41,3,At Risk
12,3,626.99,3,At Risk
96,2,682.41,3,At Risk
26,8,916.12,3,At Risk
319,1,91.80000000000001,1,Regular
66,16,3539.53,3,At Risk
74,4,4149.28,3,At Risk
28,2,584.06,3,At Risk
6,4,605.06,3,At Risk
7,1,174.37,3,At Risk
216,1,141.85999999999999,1,Regular
82,3,1799.33,3,At Risk
84,2,777.53,3,At Risk
144,5,647.74,3,At Risk
19,2,240.22,3,At Risk
41,2,874.71,3,At Risk
173,1,192.85,1,Regular
17,2,373.75,3,At Risk
243,1,239.49,1,Regular
13,12,2092.32,3,At Risk
206,1,1384.25,1,Regular
50,2,294.4,3,At Risk
23,5,732.0699999999999,3,At Risk
10,20,6703.3,0,High Value
25,5,1658.3,3,At Risk
15,2,467.04,3,At Risk
309,1,118.0,1,Regular
156,1,781.03,1,Regular
307,1,142.4,1,Regular
32,3,347.0,3,At Risk
16,13,2445.12,3,At Risk
15,2,379.65,3,At Risk
11,7,1976.12,3,At Risk
65,3,1117.13,3,At Risk
36,4,247.95999999999998,3,At Risk
108,6,1990.28,3,At Risk
53,1,396.97,3,At Risk
6,2,697.04,3,At Risk
47,2,167.42000000000002,3,At Risk
1,33,5030.6,0,High Value
312,1,219.52,1,Regular
45,2,693.32,3,At Risk
65,1,428.89,3,At Risk
26,1,164.34,3,At Risk
29,3,280.53999999999996,3,At Risk
40,1,678.01,3,At Risk
12,9,1115.43,3,At Risk
89,4,1158.2,3,At Risk
24,4,1610.46,3,At Risk
313,2,399.99,1,Regular
40,3,544.18,3,At Risk
174,1,177.34,1,Regular
117,1,213.85,3,At Risk
31,7,672.44,3,At Risk
253,1,257.23,1,Regular
59,7,1624.02,3,At Risk
23,11,7792.36,3,At Risk
5,11,1995.68,3,At Risk
100,12,3021.77,3,At Risk
25,6,2117.02,3,At Risk
33,5,1575.16,3,At Risk
68,1,1071.03,3,At Risk
37,6,941.62,3,At Risk
52,3,810.5,3,At Risk
16,1,122.64,3,At Risk
74,1,1033.34,3,At Risk
216,1,354.8,1,Regular
31,3,519.44,3,At Risk
9,5,2597.52,3,At Risk
120,1,252.1,3,At Risk
10,5,1670.22,3,At Risk
257,2,346.6,1,Regular
17,7,1809.34,3,At Risk
35,2,94.2,3,At Risk
46,3,1095.08,3,At Risk
43,6,2707.33,3,At Risk
114,2,932.97,3,At Risk
165,2,379.65,1,Regular
11,2,382.14,3,At Risk
10,7,2421.47,3,At Risk
197,3,1550.85,1,Regular
86,7,879.08,3,At Risk
179,1,189.47,1,Regular
60,3,84.65,3,At Risk
149,1,305.02,1,Regular
3,29,6216.07,0,High Value
51,2,218.55,3,At Risk
75,1,349.7,3,At Risk
301,6,-71.46,1,Regular
19,2,396.92,3,At Risk
151,2,486.82000000000005,1,Regular
152,1,232.6,1,Regular
1,5,2202.31,3,At Risk
18,4,827.83,3,At Risk
187,1,59.5,1,Regular
286,2,64.23,1,Regular
3,7,3119.44,3,At Risk
183,1,72.0,1,Regular
63,1,910.0,3,At Risk
59,1,172.25,3,At Risk
25,5,1466.8700000000001,3,At Risk
325,2,-32.0,1,Regular
4,60,62653.1,0,High Value
31,15,2504.13,3,At Risk
39,1,151.29999999999998,3,At Risk
155,1,308.58000000000004,1,Regular
26,10,2265.12,3,At Risk
318,1,99.5,1,Regular
5,10,2295.31,3,At Risk
8,3,711.86,3,At Risk
303,1,330.79,1,Regular
267,2,806.41,1,Regular
271,1,296.88,1,Regular
4,17,6249.110000000001,0,High Value
32,1,180.48,3,At Risk
219,2,252.06,1,Regular
247,1,228.84,1,Regular
281,8,1053.94,1,Regular
269,1,138.28,1,Regular
32,7,1432.26,3,At Risk
246,2,306.55,1,Regular
15,5,1041.68,3,At Risk
117,4,799.9,3,At Risk
36,1,524.14,3,At Risk
120,4,2369.16,3,At Risk
217,1,199.85000000000002,1,Regular
50,11,1809.81,3,At Risk
39,2,1079.6599999999999,3,At Risk
29,2,333.48,3,At Risk
37,6,1016.14,3,At Risk
136,2,752.6,3,At Risk
219,2,610.59,1,Regular
28,1,491.86,3,At Risk
25,8,2766.18,3,At Risk
5,3,724.0,3,At Risk
200,1,339.59999999999997,1,Regular
18,1,216.9,3,At Risk
241,1,350.75,1,Regular
72,4,666.33,3,At Risk
17,14,3102.42,3,At Risk
3,8,1340.1499999999999,3,At Risk
95,2,1156.36,3,At Risk
151,2,291.54,1,Regular
374,1,79.6,1,Regular
96,5,948.25,3,At Risk
54,5,1647.26,3,At Risk
288,1,296.25,1,Regular
124,6,1186.28,3,At Risk
288,1,741.26,1,Regular
152,2,282.59999999999997,1,Regular
4,10,2154.68,3,At Risk
2,15,5145.12,3,At Risk
12,7,3190.55,3,At Risk
33,2,659.4100000000001,3,At Risk
54,2,286.79,3,At Risk
50,2,1070.65,3,At Risk
204,2,3.552713678800501e-15,1,Regular
63,3,1689.46,3,At Risk
71,3,1521.76,3,At Risk
2,52,16945.71,0,High Value
2,16,2771.87,3,At Risk
64,5,2631.7,3,At Risk
34,3,1132.13,3,At Risk
82,1,345.0,3,At Risk
1,41,25748.350000000002,0,High Value
103,1,178.7,3,At Risk
7,2,360.01,3,At Risk
251,1,127.84,1,Regular
13,6,912.0,3,At Risk
10,11,2462.79,3,At Risk
367,1,230.39999999999998,1,Regular
76,2,309.04,3,At Risk
4,1,348.8,3,At Risk
43,3,1047.68,3,At Risk
66,2,195.55,3,At Risk
1,63,36351.42,0,High Value
117,2,688.86,3,At Risk
310,1,558.32,1,Regular
67,1,324.8,3,At Risk
138,6,3906.27,3,At Risk
255,1,277.07,1,Regular
31,7,2635.79,3,At Risk
52,2,924.6,3,At Risk
64,1,256.38,3,At Risk
367,1,112.6,1,Regular
6,5,1747.66,3,At Risk
305,1,155.05,1,Regular
29,4,899.51,3,At Risk
184,4,591.75,1,Regular
42,3,539.0,3,At Risk
40,5,1353.41,3,At Risk
56,3,1562.12,3,At Risk
22,5,4014.91,3,At Risk
24,4,555.04,3,At Risk
29,2,382.98,3,At Risk
302,3,1140.35,1,Regular
145,2,385.64,1,Regular
6,2,632.0,3,At Risk
19,2,957.66,3,At Risk
33,5,1698.94,3,At Risk
158,2,174.65,1,Regular
58,3,412.05,3,At Risk
22,1,209.49,3,At Risk
359,1,-102.0,1,Regular
16,6,2202.99,3,At Risk
18,2,40.949999999999996,3,At Risk
159,1,384.8,1,Regular
25,4,834.57,3,At Risk
212,2,271.24,1,Regular
6,4,691.73,3,At Risk
253,1,85.0,1,Regular
59,9,3385.62,3,At Risk
11,1,361.62,3,At Risk
65,1,312.98,3,At Risk
25,4,847.61,3,At Risk
92,3,1255.0,3,At Risk
52,2,1537.95,3,At Risk
88,2,1586.81,3,At Risk
96,3,2651.46,3,At Risk
9,2,1056.94,3,At Risk
9,29,8025.0199999999995,0,High Value
169,5,363.4,1,Regular
57,1,216.17,3,At Risk
326,1,201.16,1,Regular
1,6,1240.0,3,At Risk
18,10,2187.31,3,At Risk
245,2,299.56,1,Regular
58,4,501.56,3,At Risk
74,1,145.67000000000002,3,At Risk
31,3,1015.29,3,At Risk
7,2,3192.54,3,At Risk
123,4,3104.95,3,At Risk
2,10,2751.25,3,At Risk
23,14,6389.8,3,At Risk
120,4,381.7,3,At Risk
358,1,540.45,1,Regular
54,5,1786.79,3,At Risk
64,1,122.7,3,At Risk
86,1,117.24,3,At Risk
55,1,1281.53,3,At Risk
21,13,3219.77,3,At Risk
4,22,16989.52,0,High Value
3,6,1131.28,3,At Risk
1,9,2538.75,3,At Risk
7,6,781.3000000000001,3,At Risk
189,2,506.8,1,Regular
71,1,243.56,3,At Risk
204,1,349.55,1,Regular
120,2,605.63,3,At Risk
93,1,416.90000000000003,3,At Risk
1,14,1860.8600000000001,3,At Risk
27,4,632.97,3,At Risk
298,1,821.1,1,Regular
22,5,535.97,3,At Risk
21,5,2588.12,3,At Risk
50,1,311.16,3,At Risk
326,1,155.93,1,Regular
16,2,388.52,3,At Risk
183,3,740.95,1,Regular
72,5,2867.2,3,At Risk
37,2,332.64,3,At Risk
80,5,2347.05,3,At Risk
57,9,2580.91,3,At Risk
4,3,613.95,3,At Risk
50,2,272.04,3,At Risk
50,2,1212.8400000000001,3,At Risk
53,3,350.15999999999997,3,At Risk
352,1,172.25,1,Regular
54,1,351.13,3,At Risk
2,11,1682.08,3,At Risk
36,6,616.65,3,At Risk
23,1,223.85000000000002,3,At Risk
75,1,348.99,3,At Risk
11,4,464.57,3,At Risk
169,3,802.85,1,Regular
58,2,337.34,3,At Risk
86,3,1230.93,3,At Risk
295,1,307.4,1,Regular
109,2,608.7900000000001,3,At Risk
264,1,922.1,1,Regular
171,2,361.28,1,Regular
169,1,158.85,1,Regular
35,1,71.66,3,At Risk
23,4,556.75,3,At Risk
17,4,839.14,3,At Risk
22,7,4912.41,3,At Risk
79,3,561.5699999999999,3,At Risk
65,1,90.6,3,At Risk
361,1,102.0,1,Regular
3,6,2427.32,3,At Risk
11,5,728.56,3,At Risk
176,3,674.45,1,Regular
211,3,3246.091,1,Regular
7,7,3515.68,3,At Risk
2,3,378.59,3,At Risk
154,2,322.96,1,Regular
5,5,1026.42,3,At Risk
372,1,-102.45,1,Regular
79,3,598.2,3,At Risk
21,2,230.22,3,At Risk
22,2,169.55,3,At Risk
308,4,664.54,1,Regular
146,1,80.7,1,Regular
7,20,8986.69,0,High Value
9,11,2702.2200000000003,3,At Risk
71,2,190.25,3,At Risk
287,1,264.7,1,Regular
49,1,413.59000000000003,3,At Risk
31,7,2503.23,3,At Risk
207,1,357.98,1,Regular
15,2,196.79000000000002,3,At Risk
73,1,869.87,3,At Risk
60,1,200.14,3,At Risk
39,5,1861.11,3,At Risk
30,13,2590.46,3,At Risk
27,6,488.03,3,At Risk
4,16,7024.53,0,High Value
17,1,320.46,3,At Risk
20,9,4098.8,3,At Risk
66,2,1266.08,3,At Risk
213,1,311.3,1,Regular
12,7,850.63,3,At Risk
30,1,76.8,3,At Risk
32,12,3409.66,3,At Risk
4,6,2313.14,3,At Risk
15,6,1383.49,3,At Risk
10,15,3865.26,3,At Risk
206,2,633.71,1,Regular
46,4,2030.3300000000002,3,At Risk
134,2,529.73,3,At Risk
43,7,4582.64,3,At Risk
10,5,2874.72,3,At Risk
116,3,962.19,3,At Risk
198,3,685.9300000000001,1,Regular
278,1,328.8,1,Regular
110,3,473.02,3,At Risk
77,1,505.18,3,At Risk
53,1,917.34,3,At Risk
154,5,4328.46,1,Regular
47,4,1398.96,3,At Risk
17,2,642.8,3,At Risk
155,3,631.9,1,Regular
225,1,440.0,1,Regular
7,2,584.07,3,At Risk
122,2,327.7,3,At Risk
61,1,104.82,3,At Risk
63,2,467.66,3,At Risk
18,8,2360.09,3,At Risk
7,23,14634.640000000001,0,High Value
2,18,2929.84,3,At Risk
22,4,512.02,3,At Risk
29,5,1428.02,3,At Risk
285,1,626.65,1,Regular
176,2,147.20000000000002,1,Regular
78,4,1554.48,3,At Risk
33,1,152.2,3,At Risk
41,15,3542.19,3,At Risk
266,1,141.41,1,Regular
27,4,652.82,3,At Risk
109,4,1659.75,3,At Risk
284,1,154.99,1,Regular
9,7,1290.01,3,At Risk
277,2,375.13,1,Regular
17,6,5639.15,3,At Risk
32,2,746.36,3,At Risk
1,26,15477.34,0,High Value
20,1,225.36,3,At Risk
124,2,260.25,3,At Risk
65,1,92.46,3,At Risk
106,1,725.6400000000001,3,At Risk
1,29,8124.4,0,High Value
24,18,6147.4,0,High Value
267,1,183.6,1,Regular
5,20,6135.38,0,High Value
10,12,10464.85,3,At Risk
29,7,1188.32,3,At Risk
267,1,152.55,1,Regular
64,2,374.7,3,At Risk
320,1,265.85,1,Regular
4,9,1307.41,3,At Risk
21,2,139.54,3,At Risk
5,3,942.26,3,At Risk
129,1,122.47,3,At Risk
41,5,499.41999999999996,3,At Risk
102,6,1049.37,3,At Risk
125,1,375.1,3,At Risk
33,1,45.599999999999994,3,At Risk
267,4,904.67,1,Regular
365,1,182.25,1,Regular
4,9,1018.43,3,At Risk
2,19,4435.79,0,High Value
3,2,181.67,3,At Risk
10,14,50415.49,0,High Value
57,1,161.0,3,At Risk
325,1,76.32000000000001,1,Regular
8,17,4063.1,3,At Risk
12,1,442.85,3,At Risk
4,34,57120.909999999996,0,High Value
37,1,147.35,3,At Risk
16,12,3092.9700000000003,3,At Risk
138,1,194.9,3,At Risk
74,6,5976.79,3,At Risk
5,8,1314.73,3,At Risk
155,2,216.20999999999998,1,Regular
85,2,1260.33,3,At Risk
52,8,2688.48,3,At Risk
31,3,594.16,3,At Risk
23,2,80.2,3,At Risk
4,13,5669.65,3,At Risk
14,5,688.6,3,At Risk
23,12,2774.17,3,At Risk
4,8,1377.92,3,At Risk
274,2,386.53,1,Regular
20,5,1382.74,3,At Risk
144,1,90.0,1,Regular
354,1,-19.9,1,Regular
4,6,2740.3,3,At Risk
84,1,419.58000000000004,3,At Risk
11,3,2740.43,3,At Risk
8,4,643.6300000000001,3,At Risk
123,3,709.71,3,At Risk
61,2,637.5,3,At Risk
2,5,1123.8600000000001,3,At Risk
319,1,483.86,1,Regular
2,12,3580.13,3,At Risk
130,5,590.3399999999999,3,At Risk
2,15,4690.31,3,At Risk
2,2,982.3800000000001,3,At Risk
46,1,415.82,3,At Risk
4,3,920.05,3,At Risk
3,6,879.0300000000001,3,At Risk
373,1,311.81,1,Regular
134,1,115.8,3,At Risk
47,5,3148.2,3,At Risk
9,6,2949.57,3,At Risk
49,3,468.4,3,At Risk
234,1,157.2,1,Regular
213,3,259.43,1,Regular
36,2,658.64,3,At Risk
75,3,611.09,3,At Risk
239,2,1345.62,1,Regular
266,1,118.75,1,Regular
10,66,113384.14,2,Occasional
20,3,400.43,3,At Risk
40,1,507.66,3,At Risk
20,14,4678.3,3,At Risk
216,3,1110.52,1,Regular
174,2,289.36,1,Regular
87,4,2445.91,3,At Risk
71,2,1631.77,3,At Risk
276,1,122.53999999999999,1,Regular
39,4,574.84,3,At Risk
98,1,363.79,3,At Risk
11,4,450.84,3,At Risk
33,1,134.46,3,At Risk
51,7,3108.06,3,At Risk
297,5,574.0,1,Regular
85,5,554.46,3,At Risk
9,7,1620.93,3,At Risk
41,2,719.78,3,At Risk
11,31,4640.77,0,High Value
67,1,452.89,3,At Risk
331,1,197.65,1,Regular
9,10,2018.91,3,At Risk
2,24,4604.31,0,High Value
2,14,4660.01,3,At Risk
68,2,853.39,3,At Risk
5,32,11216.75,0,High Value
202,3,962.7,1,Regular
107,1,335.52,3,At Risk
4,7,663.5,3,At Risk
218,1,185.39999999999998,1,Regular
60,9,688.04,3,At Risk
2,1,161.03,3,At Risk
11,4,218.78,3,At Risk
239,2,308.26,1,Regular
95,1,151.74,3,At Risk
11,7,2067.13,3,At Risk
91,7,1900.89,3,At Risk
53,13,2208.3,3,At Risk
90,1,1070.48,3,At Risk
372,1,-1192.2,1,Regular
31,7,1000.23,3,At Risk
12,7,1777.92,3,At Risk
3,4,1839.3,3,At Risk
2,24,1925.3600000000001,0,High Value
43,1,169.48000000000002,3,At Risk
4,1,89.94,3,At Risk
247,2,632.4,1,Regular
42,10,3427.85,3,At Risk
177,1,683.17,1,Regular
92,4,975.23,3,At Risk
110,4,1050.12,3,At Risk
29,7,2201.64,3,At Risk
26,15,3315.71,3,At Risk
52,5,1450.6,3,At Risk
179,5,822.0600000000001,1,Regular
32,8,2043.93,3,At Risk
44,5,1447.51,3,At Risk
22,4,775.46,3,At Risk
10,6,3093.86,3,At Risk
81,2,490.86,3,At Risk
373,1,161.0,1,Regular
326,1,146.85,1,Regular
43,13,2323.5,3,At Risk
30,2,890.34,3,At Risk
184,1,213.70000000000002,1,Regular
235,2,280.55,1,Regular
9,14,2535.88,3,At Risk
176,5,1677.48,1,Regular
111,3,1474.06,3,At Risk
278,1,136.76999999999998,1,Regular
318,1,302.58,1,Regular
7,3,1904.05,3,At Risk
2,5,2879.7000000000003,3,At Risk
254,3,935.0600000000001,1,Regular
51,6,3087.27,3,At Risk
9,10,12650.08,3,At Risk
142,1,120.0,3,At Risk
51,2,1163.45,3,At Risk
8,8,2618.23,3,At Risk
155,3,319.47,1,Regular
109,2,530.18,3,At Risk
151,7,1279.09,3,At Risk
332,1,492.65000000000003,1,Regular
226,1,112.32,1,Regular
74,2,437.96,3,At Risk
51,4,559.97,3,At Risk
88,5,1019.39,3,At Risk
15,4,3957.0,3,At Risk
197,1,134.04,1,Regular
3,15,3729.34,3,At Risk
31,3,578.45,3,At Risk
21,4,1910.01,3,At Risk
24,5,4595.81,3,At Risk
8,4,151.23000000000002,3,At Risk
212,2,413.85,1,Regular
9,6,911.26,3,At Risk
11,6,2307.4500000000003,3,At Risk
2,12,3873.3,3,At Risk
8,14,4819.33,3,At Risk
3,4,1046.56,3,At Risk
40,2,154.70000000000002,3,At Risk
18,6,1284.06,3,At Risk
3,45,50862.44,0,High Value
8,18,2855.35,3,At Risk
19,1,43.2,3,At Risk
108,2,632.04,3,At Risk
223,2,197.1,1,Regular
71,5,1803.76,3,At Risk
51,3,2083.42,3,At Risk
89,6,2995.72,3,At Risk
8,10,2319.68,3,At Risk
225,2,229.71,1,Regular
47,6,1611.59,3,At Risk
107,1,120.0,3,At Risk
21,7,2456.98,3,At Risk
65,1,508.58000000000004,3,At Risk
207,3,343.11,1,Regular
11,5,1530.75,3,At Risk
115,4,574.26,3,At Risk
235,2,166.85,1,Regular
163,1,311.65,1,Regular
9,14,4928.74,3,At Risk
124,2,462.65999999999997,3,At Risk
23,3,866.31,3,At Risk
64,2,351.45,3,At Risk
17,9,2539.46,3,At Risk
16,2,468.26,3,At Risk
17,4,1614.91,3,At Risk
158,4,554.22,1,Regular
235,4,289.90999999999997,1,Regular
219,1,134.7,1,Regular
45,9,2166.38,3,At Risk
21,6,607.71,3,At Risk
127,8,889.9300000000001,3,At Risk
39,1,108.97999999999999,3,At Risk
121,2,1021.58,3,At Risk
260,1,409.57,1,Regular
10,1,133.5,3,At Risk
271,2,258.7,1,Regular
165,1,51.0,1,Regular
157,4,1078.96,1,Regular
215,1,90.6,1,Regular
6,2,163.62,3,At Risk
366,1,174.4,1,Regular
60,4,666.9399999999999,3,At Risk
43,1,225.77,3,At Risk
19,6,882.58,3,At Risk
32,4,2128.23,3,At Risk
22,1,161.2,3,At Risk
109,8,3717.35,3,At Risk
8,19,9167.82,0,High Value
320,1,155.0,1,Regular
295,1,100.5,1,Regular
358,1,76.55,1,Regular
185,1,257.68,1,Regular
191,2,617.05,1,Regular
44,2,348.1,3,At Risk
52,1,202.68,3,At Risk
26,1,626.0699999999999,3,At Risk
38,3,1247.69,3,At Risk
9,3,202.11,3,At Risk
297,1,142.4,1,Regular
33,3,1770.56,3,At Risk
9,10,3172.04,3,At Risk
9,5,999.72,3,At Risk
10,13,4592.47,3,At Risk
218,1,67.95,1,Regular
2,12,3471.91,3,At Risk
65,2,487.99,3,At Risk
1,23,2556.68,0,High Value
141,2,559.7,3,At Risk
4,14,4039.98,3,At Risk
130,5,1426.31,3,At Risk
34,7,1434.72,3,At Risk
119,1,156.75,3,At Risk
107,9,2111.08,3,At Risk
11,7,2606.53,3,At Risk
71,7,1908.25,3,At Risk
16,15,576.3,3,At Risk
311,1,1063.0,1,Regular
35,3,761.3299999999999,3,At Risk
362,1,122.7,1,Regular
92,8,1485.1299999999999,3,At Risk
1,18,5811.56,0,High Value
22,2,490.22,3,At Risk
4,3,1937.25,3,At Risk
11,6,1058.06,3,At Risk
85,2,385.87,3,At Risk
57,2,813.11,3,At Risk
1,6,4263.64,3,At Risk
218,1,265.2,1,Regular
18,1,322.08,3,At Risk
19,16,3918.9,3,At Risk
50,2,363.34000000000003,3,At Risk
7,7,1230.14,3,At Risk
299,2,397.76,1,Regular
10,6,2255.51,3,At Risk
22,6,1372.8,3,At Risk
99,1,89.06,3,At Risk
143,2,-43.400000000000006,3,At Risk
306,1,131.9,1,Regular
320,1,2661.24,1,Regular
8,5,2357.6800000000003,3,At Risk
1,10,1545.14,3,At Risk
2,5,1544.62,3,At Risk
54,7,1400.88,3,At Risk
1,4,1039.58,3,At Risk
19,5,1163.23,3,At Risk
9,2,375.35,3,At Risk
19,4,907.1,3,At Risk
181,3,483.25,1,Regular
60,2,662.59,3,At Risk
11,2,264.44,3,At Risk
190,1,119.93,1,Regular
5,14,3047.63,3,At Risk
311,1,113.64,1,Regular
155,1,1837.92,1,Regular
110,4,383.34,3,At Risk
148,3,2103.06,1,Regular
64,15,1965.9,3,At Risk
98,3,529.62,3,At Risk
247,3,1058.6200000000001,1,Regular
29,7,2272.4,3,At Risk
18,4,598.76,3,At Risk
12,2,461.19,3,At Risk
104,8,1936.84,3,At Risk
74,2,234.34000000000003,3,At Risk
43,2,537.71,3,At Risk
72,6,799.82,3,At Risk
257,1,215.7,1,Regular
20,5,1307.81,3,At Risk
254,2,316.25,1,Regular
11,1,279.05,3,At Risk
165,2,636.51,1,Regular
18,6,2068.15,3,At Risk
150,2,129.2,1,Regular
50,1,321.92,3,At Risk
39,1,165.75,3,At Risk
27,7,1183.58,3,At Risk
51,2,1047.43,3,At Risk
207,1,463.38,1,Regular
175,2,340.93,1,Regular
7,7,2362.84,3,At Risk
26,1,139.56,3,At Risk
51,2,123.8,3,At Risk
312,2,538.8100000000001,1,Regular
301,2,457.47,1,Regular
43,5,1957.32,3,At Risk
26,3,815.32,3,At Risk
88,3,356.85,3,At Risk
64,3,190.31,3,At Risk
20,14,2351.02,3,At Risk
3,6,3543.26,3,At Risk
47,4,673.26,3,At Risk
17,11,5818.7,3,At Risk
17,5,2012.17,3,At Risk
24,7,1368.18,3,At Risk
22,2,276.42,3,At Risk
11,6,1267.4099999999999,3,At Risk
188,2,275.28,1,Regular
101,4,438.49,3,At Risk
61,3,1055.35,3,At Risk
18,6,2102.09,3,At Risk
33,2,330.45,3,At Risk
64,1,174.37,3,At Risk
2,2,270.6,3,At Risk
24,4,974.54,3,At Risk
108,1,241.09,3,At Risk
32,9,1867.68,3,At Risk
9,13,4221.37,3,At Risk
3,86,7711.38,0,High Value
37,1,364.21999999999997,3,At Risk
60,3,620.04,3,At Risk
26,6,2925.91,3,At Risk
236,4,932.85,1,Regular
25,9,1812.6200000000001,3,At Risk
3,25,4075.35,0,High Value
59,4,2841.09,3,At Risk
260,1,171.8,1,Regular
58,1,355.56,3,At Risk
65,2,388.25,3,At Risk
16,2,537.48,3,At Risk
10,3,996.26,3,At Risk
59,8,1461.65,3,At Risk
186,1,103.25,1,Regular
4,21,2916.17,0,High Value
24,2,2024.45,3,At Risk
4,9,2487.02,3,At Risk
4,9,3986.7400000000002,3,At Risk
151,2,652.8,1,Regular
311,1,289.24,1,Regular
11,2,765.62,3,At Risk
18,2,186.23,3,At Risk
152,1,165.07,1,Regular
19,5,859.27,3,At Risk
10,4,2381.04,3,At Risk
57,2,324.14,3,At Risk
64,2,0.0,3,At Risk
7,24,2174.18,0,High Value
76,3,1080.76,3,At Risk
4,22,4709.22,0,High Value
96,6,3073.77,3,At Risk
111,1,1432.0,3,At Risk
35,3,1524.46,3,At Risk
1,1,227.39,3,At Risk
281,2,218.06,1,Regular
3,10,2803.69,3,At Risk
180,13,1603.72,1,Regular
372,1,35.400000000000006,1,Regular
13,4,859.71,3,At Risk
3,1,168.63,3,At Risk
17,1,138.6,3,At Risk
41,1,114.11,3,At Risk
6,5,1052.55,3,At Risk
169,5,1029.26,1,Regular
50,1,157.05,3,At Risk
227,3,134.16,1,Regular
19,10,1598.24,3,At Risk
372,1,39.75,1,Regular
15,4,1447.14,3,At Risk
35,3,570.46,3,At Risk
22,3,617.99,3,At Risk
7,2,379.83,3,At Risk
20,6,1740.6,3,At Risk
11,2,883.15,3,At Risk
44,1,221.97,3,At Risk
306,1,393.33000000000004,1,Regular
11,1,213.96,3,At Risk
275,1,660.0,1,Regular
1,128,11713.85,0,High Value
16,17,11341.1,0,High Value
4,4,1785.15,3,At Risk
72,4,601.56,3,At Risk
243,3,406.08000000000004,1,Regular
9,4,538.59,3,At Risk
239,2,379.51,1,Regular
204,3,393.28000000000003,1,Regular
1,6,1765.76,3,At Risk
185,1,320.58000000000004,1,Regular
32,6,869.35,3,At Risk
57,2,225.85,3,At Risk
185,5,848.48,1,Regular
9,7,2757.07,3,At Risk
312,1,-21.85,1,Regular
91,2,671.96,3,At Risk
4,3,939.21,3,At Risk
51,3,1006.98,3,At Risk
263,1,114.56,1,Regular
266,1,344.90000000000003,1,Regular
36,2,609.85,3,At Risk
51,1,443.6,3,At Risk
52,8,2952.34,3,At Risk
16,8,2042.15,3,At Risk
22,1,110.46,3,At Risk
59,1,96.12,3,At Risk
170,3,668.61,1,Regular
9,4,780.46,3,At Risk
157,2,597.09,1,Regular
2,77,279489.02,2,Occasional
201,1,243.22,1,Regular
5,4,1417.29,3,At Risk
67,2,654.6,3,At Risk
77,1,114.18,3,At Risk
1,7,1947.55,3,At Risk
4,5,1930.15,3,At Risk
169,2,291.05,1,Regular
18,5,838.27,3,At Risk
5,2,247.15,3,At Risk
9,12,2456.53,3,At Risk
87,2,285.74,3,At Risk
27,1,107.95,3,At Risk
29,4,771.17,3,At Risk
20,2,637.89,3,At Risk
61,7,1258.38,3,At Risk
24,1,195.25,3,At Risk
11,27,9231.2,0,High Value
242,3,1269.99,1,Regular
280,2,411.53,1,Regular
235,2,765.55,1,Regular
3,5,1736.4,3,At Risk
16,1,604.75,3,At Risk
31,8,2543.2400000000002,3,At Risk
372,1,-2.55,1,Regular
25,23,26932.34,0,High Value
71,3,498.95,3,At Risk
188,2,52.0,1,Regular
26,5,1236.28,3,At Risk
107,1,628.38,3,At Risk
8,27,5107.38,0,High Value
209,1,112.8,1,Regular
44,3,358.61,3,At Risk
31,5,2114.33,3,At Risk
137,5,582.05,3,At Risk
265,1,172.9,1,Regular
4,9,2070.97,3,At Risk
218,2,188.60999999999999,1,Regular
2,5,1250.76,3,At Risk
214,1,109.13000000000001,1,Regular
32,3,2235.3,3,At Risk
11,12,2486.2200000000003,3,At Risk
1,18,3250.64,3,At Risk
15,1,318.17,3,At Risk
11,9,1546.91,3,At Risk
199,1,179.0,1,Regular
3,4,1096.67,3,At Risk
15,14,4911.14,3,At Risk
14,4,606.13,3,At Risk
10,12,2838.2,3,At Risk
29,3,917.07,3,At Risk
9,12,2664.2599999999998,3,At Risk
24,1,160.19,3,At Risk
25,4,867.38,3,At Risk
43,2,329.68,3,At Risk
2,6,1592.18,3,At Risk
6,3,663.81,3,At Risk
147,1,187.92000000000002,1,Regular
10,6,1158.3,3,At Risk
25,1,718.08,3,At Risk
274,1,268.58,1,Regular
374,1,313.49,1,Regular
1,8,2005.06,3,At Risk
47,3,380.02,3,At Risk
8,10,2686.34,3,At Risk
9,15,9451.54,0,High Value
4,34,5807.6900000000005,0,High Value
4,3,1164.55,3,At Risk
39,9,1289.94,3,At Risk
2,8,3899.1,3,At Risk
191,4,1423.21,1,Regular
12,6,1400.34,3,At Risk
16,9,1088.53,3,At Risk
113,6,1167.16,3,At Risk
248,2,294.3,1,Regular
29,6,1311.79,3,At Risk
44,1,389.64,3,At Risk
87,1,563.15,3,At Risk
45,2,638.05,3,At Risk
10,12,4965.38,3,At Risk
15,1,738.96,3,At Risk
75,1,420.5,3,At Risk
145,4,1484.06,3,At Risk
5,3,1625.97,3,At Risk
294,2,53.8,1,Regular
59,2,255.9,3,At Risk
264,1,300.52,1,Regular
